"id","psss_nominal","avg_ss"
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.01_small","small",45.4242581707465
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.01_medium","medium",113.918777560864
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.01_large","large",183.05292787024
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.06_small","small",45.4290153670983
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.06_medium","medium",113.155729053171
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.06_large","large",181.245085960694
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.11_small","small",45.4609098486365
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.11_medium","medium",112.727206962151
"pb_no_orb_str_k_70_d0.20_su0.01_sv0.11_large","large",180.299398254555
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.01_small","small",45.5281332713136
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.01_medium","medium",113.133924919399
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.01_large","large",180.910020622966
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.06_small","small",45.4979978576263
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.06_medium","medium",112.682600619777
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.06_large","large",180.244025390942
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.11_small","small",45.4518810858482
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.11_medium","medium",112.347932481416
"pb_no_orb_str_k_70_d0.20_su0.06_sv0.11_large","large",179.695266708491
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.01_small","small",45.5084836793816
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.01_medium","medium",112.558235754888
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.01_large","large",180.239645019914
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.06_small","small",45.4551274064545
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.06_medium","medium",112.299260829728
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.06_large","large",179.75315498829
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.11_small","small",45.3935379938697
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.11_medium","medium",111.999134388621
"pb_no_orb_str_k_70_d0.20_su0.11_sv0.11_large","large",179.132177514532
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.01_small","small",46.0623343315889
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.01_medium","medium",112.299832717387
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.01_large","large",178.165006219715
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.06_small","small",45.6033978574435
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.06_medium","medium",111.654079203968
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.06_large","large",178.092898112087
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.11_small","small",45.3943703613984
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.11_medium","medium",111.366568796729
"pb_no_orb_str_k_70_d0.50_su0.01_sv0.11_large","large",177.828594178041
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.01_small","small",45.6240978624855
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.01_medium","medium",111.649077351783
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.01_large","large",177.933383269875
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.06_small","small",45.3909807166285
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.06_medium","medium",111.373069908772
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.06_large","large",177.782728067771
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.11_small","small",45.2649801075581
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.11_medium","medium",111.138302575029
"pb_no_orb_str_k_70_d0.50_su0.06_sv0.11_large","large",177.656125400271
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.01_small","small",45.3811889599014
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.01_medium","medium",111.325502840775
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.01_large","large",177.631319649186
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.06_small","small",45.2637159696127
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.06_medium","medium",111.16843457637
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.06_large","large",177.583192778451
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.11_small","small",45.1766697981666
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.11_medium","medium",111.047658566508
"pb_no_orb_str_k_70_d0.50_su0.11_sv0.11_large","large",177.477038272969
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.01_small","small",45.0500583785887
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.01_medium","medium",109.264019093499
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.01_large","large",174.401826582204
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.06_small","small",45.0027175330844
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.06_medium","medium",109.638996970192
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.06_large","large",175.106551237452
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.11_small","small",44.9053544352978
"pb_no_orb_str_k_70_d0.80_su0.01_sv0.11_medium","medium",109.785992198255
