"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
82,"pb_no_orb_no",15,0.8,0.01,0.01,"small",2.6,0.5,1.6,0.1,1.03,0.6,0.82,0.6,0.91,0.4,0.81,0.6,1.13,1.11
83,"pb_no_orb_no",15,0.8,0.01,0.01,"medium",0.7,0.1,0.6,0,1.01,0.6,1.01,0.8,0.7,0.8,0.91,0.7,0.91,2.2
84,"pb_no_orb_no",15,0.8,0.01,0.01,"large",0,0,0,0,0.4,0.5,0.5,0.4,0.5,0.5,0.8,0.6,2.8,1.8
85,"pb_no_orb_no",15,0.8,0.01,0.06,"small",0.4,0.4,0.4,0.1,0.9,0.7,0.9,0.5,1,0.6,1,0.5,1.01,0.7
86,"pb_no_orb_no",15,0.8,0.01,0.06,"medium",0,0,0,0,0.1,0.8,0.1,1,0.2,0.6,0.3,1,0.2,1.2
87,"pb_no_orb_no",15,0.8,0.01,0.06,"large",0,0,0,0,0.1,0.7,0.2,0.5,0.1,0.7,0.3,0.4,0.1,1.8
88,"pb_no_orb_no",15,0.8,0.01,0.11,"small",0.1,0.8,0.1,0.3,1.7,0.6,1.7,0.5,1.6,0.4,1.7,0.5,1.7,0.6
89,"pb_no_orb_no",15,0.8,0.01,0.11,"medium",0,0,0,0,0.2,0.5,0.3,0.9,0.3,0.6,0.4,1,0.2,1
90,"pb_no_orb_no",15,0.8,0.01,0.11,"large",0,0,0,0,0.4,0.7,0.4,0.5,0.4,0.7,0.4,0.6,0.4,1.3
91,"pb_no_orb_no",15,0.8,0.06,0.01,"small",0.1,0,0,0.1,1.1,0.7,1,0.8,1.1,0.8,1,0.8,1.2,0.5
92,"pb_no_orb_no",15,0.8,0.06,0.01,"medium",0.2,0,0,0,0.6,0.7,0.7,0.8,0.8,0.5,0.9,0.9,0.5,0.8
93,"pb_no_orb_no",15,0.8,0.06,0.01,"large",0,0,0.2,0,0.9,0.7,0.9,0.7,0.8,0.5,1,1.2,0.8,1.4
94,"pb_no_orb_no",15,0.8,0.06,0.06,"small",0,0,0,0,2.3,0.6,2.2,0.8,2.1,0.7,2.2,0.8,2.3,0.7
95,"pb_no_orb_no",15,0.8,0.06,0.06,"medium",0,0,0,0,2,0.6,2,0.9,1.9,0.8,1.9,1.1,2,1
96,"pb_no_orb_no",15,0.8,0.06,0.06,"large",0,0,0,0,1.6,0.6,1.6,0.7,1.6,0.8,1.5,1.1,1.6,1
97,"pb_no_orb_no",15,0.8,0.06,0.11,"small",0,0.1,0,0.6,3.4,0.8,3.5,1,3,0.7,2.8,0.91,3.5,0.5
98,"pb_no_orb_no",15,0.8,0.06,0.11,"medium",0,0.1,0,0,4.4,0.7,4.1,0.9,3.3,0.9,3.2,0.6,4.4,0.9
99,"pb_no_orb_no",15,0.8,0.06,0.11,"large",0,0,0,0,3.1,0.7,3.2,0.7,2.7,0.6,2.7,1.1,3.1,1
100,"pb_no_orb_no",15,0.8,0.11,0.01,"small",0,0,0,0,1.2,0.8,1.5,0.8,1.3,0.6,1.5,0.9,1.4,0.6
101,"pb_no_orb_no",15,0.8,0.11,0.01,"medium",0.1,0,0.2,0,1.1,0.8,1.2,0.5,1,0.6,1,0.8,1,0.7
102,"pb_no_orb_no",15,0.8,0.11,0.01,"large",0.3,0,0.1,0,1.5,0.7,1.71,0.7,1.5,0.5,1.5,1.3,1.5,1.6
103,"pb_no_orb_no",15,0.8,0.11,0.06,"small",0,0,0,0,2.9,0.6,2.9,0.9,2.2,0.8,2.2,1,2.9,0.6
104,"pb_no_orb_no",15,0.8,0.11,0.06,"medium",0,0,0,0,4.1,0.7,4,0.8,3.1,0.7,3.3,1,4.1,0.8
105,"pb_no_orb_no",15,0.8,0.11,0.06,"large",0,0,0,0,4.6,0.9,4.5,0.8,3.1,0.6,3,1,4.6,1.1
106,"pb_no_orb_no",15,0.8,0.11,0.11,"small",0,0.1,0,0.1,2.4,0.6,2.6,0.8,2.6,0.7,2.3,0.9,2.4,0.7
107,"pb_no_orb_no",15,0.8,0.11,0.11,"medium",0,0,0,0,3.9,0.6,3.8,0.9,3.5,0.7,3.3,1.1,3.9,0.8
