"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","k_cat","sigma2_u_cat","sigma2_v_cat"
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06_small","pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06","pb_str_orb_mod",15,0.5,0.11,0.06,"small",0.0614754098360656,0.0584016393442623,-0.206608417052557,0.529650754818216,0.0526315789473684,0.301341589267286,-0.0236991472307815,0.133999408904101,0.0422110552763819,0.0964824120603015,-0.036502488887142,0.527747714433363,0.0350701402805611,0.407815631262525,0.0711230163839991,0.140501621908604,-0.244124120419872,0.459987800023366,-0.0957948467130404,0.398625349208678,-1.05762660101609,1.85686388123707,-0.985522313670373,1.72218290035129,84,"small","large","medium"
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.11_small","pb_str_orb_mod_k_15_d0.50_su0.11_sv0.11","pb_str_orb_mod",15,0.5,0.11,0.11,"small",0.0519877675840979,0.0682976554536188,-0.21456761841555,0.563801606425067,0.0479102956167176,0.27420998980632,-0.0122990816839212,0.14257044273528,0.0352112676056338,0.103621730382294,-0.00450577139444963,0.578080620463341,0.031031031031031,0.367367367367367,0.0981560860572234,0.15502641549544,-0.248381409707388,0.490555748811857,-0.0660003880555775,0.418518296486267,-0.955554835092851,1.85743481563509,-0.889422767796074,1.69304969341718,70,"small","large","large"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_medium","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01","pb_str_orb_mod",15,0.5,0.01,0.01,"medium",0.0182741116751269,0.255837563451777,-0.106628234860569,0.0501021498542201,0.0171198388721047,0.924471299093656,-0.0339936352227481,0.0117394209060711,0.018,0.291,-0.0857833600086635,0.0461342218602736,0.015,0.936,-0.0211757104483558,0.0111925942829713,-0.109091303006495,0.0441657980445503,-0.087971193273661,0.039250305272697,NA,NA,NA,NA,33,"small","small","small"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_medium","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06","pb_str_orb_mod",15,0.5,0.01,0.06,"medium",0.0439672801635992,0.260736196319018,-0.0941864866919806,0.0796698392100536,0.0374493927125506,0.878542510121457,-0.0119307667479249,0.0198235672835645,0.037,0.309,-0.0578491547917679,0.0752668364353432,0.027,0.904,0.010541314247148,0.0201279328236069,-0.106055995542342,0.0657009172035804,-0.0714327555902362,0.0584615822941363,-0.455662395533623,0.331229514180185,-0.436179192633439,0.307979440186952,65,"small","small","medium"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_medium","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11","pb_str_orb_mod",15,0.5,0.01,0.11,"medium",0.0753353973168215,0.236326109391125,-0.102538183980375,0.109480211104241,0.0720812182741117,0.79492385786802,-0.000569807209223949,0.0279550768366158,0.058,0.288,-0.0411829189647109,0.107104201534415,0.053,0.832,0.032157944195534,0.0303153375934673,-0.115363395114654,0.0949843689850197,-0.0605414263036869,0.0852349215881917,NA,NA,NA,NA,104,"small","small","large"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01_medium","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01","pb_str_orb_mod",15,0.5,0.06,0.01,"medium",0.0785498489425982,0.176233635448137,-0.123323277288483,0.144549606685585,0.0753768844221105,0.726633165829146,-0.0265669532167311,0.0365202326742221,0.061,0.238,-0.0631313614449298,0.13904975891963,0.06,0.776,0.00625188500749241,0.0371414076851172,-0.148084695957915,0.12138773667685,-0.0963393215773243,0.107197707802481,-0.594107540112095,0.5348505273262,-0.560307052926315,0.481958156935478,85,"small","medium","small"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06_medium","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06","pb_str_orb_mod",15,0.5,0.06,0.06,"medium",0.0780141843971631,0.16919959473151,-0.115664755570098,0.183176231263886,0.070635721493441,0.674066599394551,-0.0084317568542629,0.0482890192137032,0.073,0.231,-0.0337716621344627,0.182249854557359,0.059,0.716,0.0332421142311761,0.0507051144726237,-0.143789325222685,0.147580315943689,-0.0732362513417456,0.128446178783242,-0.492517335297057,0.583339415229275,-0.459483041450016,0.549227686230699,90,"small","medium","medium"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11_medium","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11","pb_str_orb_mod",15,0.5,0.06,0.11,"medium",0.085513078470825,0.152917505030181,-0.13040705384811,0.23881218686263,0.0742971887550201,0.598393574297189,-0.00775379103398949,0.0627448373913135,0.066,0.209,-0.0324740810901843,0.237891427156877,0.059,0.655,0.0432174599882454,0.0676224996346253,-0.159825779802027,0.196737007156252,-0.0737194856348765,0.1737679651458,-0.658963066126623,0.882080474185509,-0.629168940719256,0.860556905293812,91,"small","medium","large"
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01_medium","pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01","pb_str_orb_mod",15,0.5,0.11,0.01,"medium",0.0926485397784491,0.120845921450151,-0.143669038604791,0.26475369077519,0.0884422110552764,0.535678391959799,-0.0276704098173289,0.069863022348101,0.0760760760760761,0.183183183183183,-0.0335830613713646,0.262282733744141,0.066,0.596,0.029031734353211,0.072738302976072,-0.178191260573735,0.218034582323099,-0.0865290600851384,0.185520727321979,-0.64521996143022,0.795776775679253,-0.599858174099747,0.722844078354943,99,"small","large","small"
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06_medium","pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06","pb_str_orb_mod",15,0.5,0.11,0.06,"medium",0.0792377131394183,0.127382146439318,-0.124805045491956,0.293231168828599,0.078391959798995,0.48643216080402,-0.00972675617244934,0.0784287152899037,0.055,0.184,-0.00141731929832795,0.303553890448977,0.0500500500500501,0.567567567567568,0.053475695952067,0.0854362529101561,-0.159036233043707,0.245239910802645,-0.0587446276466835,0.215884292808947,-0.80079819882265,1.10218507462156,-0.738090201512694,0.98444589002191,82,"small","large","medium"
